"Probe_ID","SampleVar","LogVarRatio","DiffLevene","t","P.Value","Adj.P.Value","chr","pos","strand","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Phantom","DMR","Enhancer","HMM_Island","Regulatory_Feature_Name","Regulatory_Feature_Group","DHS","Probe_SNPs","Probe_SNPs_10","Islands_Name","Relation_to_Island"
"cg01156108",0.449009361042893,-1.81142224349936,-0.481147912127429,-5.4890155127137,1.19057629527082e-07,0.00435455444679476,"chr17",48133078,"+","ITGA3;ITGA3","NM_005501;NM_002204","TSS1500;TSS1500","","","","17:45487919-45489498","17:48133037-48134140","Unclassified","","rs3834596","","chr17:48132994-48134084","Island"
"cg01171360",0.333882394842902,-2.39498376166943,-0.42128459177583,-5.52486059657919,9.97262349780072e-08,0.00401225569399967,"chr6",293285,"+","DUSP22","NM_020185","Body","","","","6:238210-238332","","","","rs7767281","rs72838722","chr6:291948-292839","S_Shore"
"cg01516881",0.719018268239648,-4.11559657217106,-0.777383046204997,-7.65326052163558,7.62643920754004e-13,7.67080601762991e-08,"chr6",292596,"-","DUSP22","NM_020185","Body","","","","6:236882-237965","6:291596-292679","Promoter_Associated","","","","chr6:291948-292839","Island"
"cg03395511",1.34488346840848,-3.81695974238131,-1.07282166398832,-7.53711469012069,1.53474648670185e-12,1.02911658292549e-07,"chr6",291903,"-","DUSP22","NM_020185","TSS200","","","","6:236882-237965","6:291596-292679","Promoter_Associated","","","","chr6:291948-292839","N_Shore"
"cg05064044",0.689126322965706,-3.52533768919535,-0.761674221365248,-7.49912273759329,1.92684869098917e-12,1.107461790428e-07,"chr6",292385,"+","DUSP22;DUSP22","NM_020185;NM_020185","1stExon;5'UTR","high-CpG:237033-237532","","","6:236882-237965","6:291596-292679","Promoter_Associated","","","","chr6:291948-292839","Island"
"cg07332563",1.29805227042881,-3.24732264779412,-0.979054655477914,-6.76014761562214,1.41522256869002e-10,6.32646944881498e-06,"chr6",291687,"-","DUSP22","NM_020185","TSS1500","","","","","6:291596-292679","Promoter_Associated","","","","chr6:291948-292839","N_Shore"
"cg11235426",0.878718253272223,-3.05828383509376,-0.797524417826551,-6.80729959682442,1.08418500282841e-10,5.45246124541182e-06,"chr6",292522,"+","DUSP22;DUSP22","NM_020185;NM_020185","1stExon;5'UTR","high-CpG:237033-237532","","","6:236882-237965","6:291596-292679","Promoter_Associated","","","","chr6:291948-292839","Island"
"cg14566696",0.229947432827969,1.61024003129607,0.317738387830456,5.07758324692301,8.58784161498839e-07,0.028792671278612,"chr6",31367849,"+","","","","","","","6:31475456-31476065","6:31367352-31368077","Promoter_Associated","","rs2523454","","chr6:31367476-31367916","Island"
"cg15383120",1.31280727735725,-4.10816293013338,-1.10198675382123,-7.92356630288889,1.46629521254148e-13,2.94965076988088e-08,"chr6",291909,"-","DUSP22","NM_020185","TSS200","","","","6:236882-237965","6:291596-292679","Promoter_Associated","","","","chr6:291948-292839","N_Shore"
"cg18110333",2.01290210519702,-4.75302985074724,-1.3973723763905,-7.92735583856817,1.43249334762717e-13,2.94965076988088e-08,"chr6",292329,"+","DUSP22;DUSP22","NM_020185;NM_020185","1stExon;5'UTR","high-CpG:237033-237532","","","6:236882-237965","6:291596-292679","Promoter_Associated","","rs12525419","","chr6:291948-292839","Island"
"cg21548813",1.66872550736791,-4.03159477344804,-1.22286605747249,-7.61264776641303,9.74541380048605e-13,7.8416861962163e-08,"chr6",291882,"-","DUSP22","NM_020185","TSS1500","","","","6:236882-237965","6:291596-292679","Promoter_Associated","","","","chr6:291948-292839","N_Shore"
"cg26668828",1.94357952438293,-3.8991855158809,-1.34189945830812,-7.73997298250283,4.50808423371622e-13,6.04574668499449e-08,"chr6",292823,"+","DUSP22","NM_020185","Body","","","","6:236882-237965","6:292711-293164","Promoter_Associated","","rs815596","","chr6:291948-292839","Island"
